ad_id,ad_name,declining_days
2171,"Grocery Delivery Video",44
2009,"Developer Laptop Ad",43
2083,"Cloud Developer Tools",43
2058,"Student Tech Promo",42
2188,"Crypto Trading Ad",42
2004,"Top Gadget Deals",41
2005,"Professional Laptop Ad",41
2008,"Premium Laptop Offer",41
2053,"Premium Monsoon Deals",41
2060,"Developer Laptop Video",41
2095,"College Gamer Ad",41
2102,"Festival Sale Video",41
2122,"Fintech Product Video",41
2163,"HR Automation Promo",41
2176,"Healthy Food Ad",41
2180,"Meditation App Video",41
2025,"Startup SaaS Ad",40
2031,"Campaign Analytics Promo",40
2043,"Daily Workout App",40
2065,"Travel Deals Banner",40
2071,"Urban Travel Ad",40
2086,"Marketing Analytics Banner",40
2134,"Wellness Nutrition Video",40
2139,"Home Decor Banner",40
2143,"Luxury Interior Video",40
2175,"Family Grocery Promo",40
2003,"Electronics Promo Video",39
2032,"Digital Marketing Tools",39
2033,"Small Business SaaS",39
2056,"Student Laptop Offer",39
2059,"Developer Laptop Upgrade",39
2072,"City Break Video",39
2074,"Luxury Watch Ad",39
2077,"Executive Watch Banner",39
2080,"Smart Luxury Watch",39
2100,"Mobile Game Event",39
2103,"Holiday Electronics Promo",39
2107,"Developer Gadget Ad",39
2120,"Skincare Essentials",39
2125,"Finance Software Video",39
2126,"Business Finance Promo",39
2129,"Fintech Payment Promo",39
2146,"City Living Video",39
2153,"Budget Smartphone Promo",39
2160,"Mobile Launch Banner",39
2167,"HR Analytics Ad",39
2183,"Yoga Meditation Video",39
2190,"Crypto Investment Promo",39
2192,"Blockchain Platform Video",39
2196,"Digital Asset Promo",39
2197,"Crypto Strategy Ad",39
2002,"Electronics Flash Sale",38
2013,"Fashion Trend Banner",38
2018,"Luxury Style Video",38
2020,"Premium Style Banner",38
2024,"Budget Fashion Picks",38
2049,"Monsoon Discount Banner",38
2055,"Exclusive Luxury Offer",38
2069,"Budget Travel Video",38
2078,"Luxury Timepiece Video",38
2091,"Founder Tools Promo",38
2105,"Laptop Festival Video",38
2116,"Healthy Beauty Ad",38
2128,"Digital Payment Video",38
2130,"Gym Fitness Ad",38
